Agent,Scenario,FeatureIdx,FeatureName,Partition_MeanAbsSHAP,Kernel_MeanAbsSHAP,Partition_rank,Kernel_rank
A2C_mod,EASY,622,waste_feat_SKU182,0.00010464938411669759,0.0,538,624
A2C_mod,EASY,623,waste_feat_SKU183,0.0001046493841166976,2.868550322176842e-08,313,284
A2C_mod,EASY,624,waste_feat_SKU184,0.00010464938411669762,0.0,194,625
A2C_mod,EASY,625,waste_feat_SKU185,0.00010464938411669759,1.9008525859637515e-08,537,311
A2C_mod,EASY,626,waste_feat_SKU186,0.00010464938411669762,1.3559838398740397e-07,251,129
A2C_mod,EASY,627,waste_feat_SKU187,0.00010464938411669762,4.6608987654176055e-09,250,361
A2C_mod,EASY,628,waste_feat_SKU188,0.00010464938411669759,5.6953551666345355e-11,606,419
A2C_mod,EASY,629,waste_feat_SKU189,0.00010464938411669759,4.199028977686591e-08,605,241
A2C_mod,EASY,630,waste_feat_SKU190,0.0001046493841166976,0.0,262,642
A2C_mod,EASY,631,waste_feat_SKU191,0.00010464938411669762,7.066883589960779e-08,257,183
A2C_mod,EASY,632,waste_feat_SKU192,0.00010464938411669762,0.0,256,643
A2C_mod,EASY,633,waste_feat_SKU193,0.0001046493841166976,2.3392280437246827e-08,263,295
A2C_mod,EASY,634,waste_feat_SKU194,0.0001046493841166976,0.0,264,644
A2C_mod,EASY,635,waste_feat_SKU195,0.00010464938411669758,5.507681827382585e-08,660,217
A2C_mod,EASY,636,waste_feat_SKU196,0.00010464938411669759,4.855922854774836e-08,604,226
A2C_mod,EASY,637,waste_feat_SKU197,0.00010464938411669759,0.0015228459036502433,603,6
A2C_mod,EASY,638,waste_feat_SKU198,0.00010464938411669759,0.0,602,645
A2C_mod,EASY,639,waste_feat_SKU199,0.00010464938411669759,1.0639881118207147e-07,610,143
A2C_mod,EASY,640,waste_feat_SKU200,0.00010464938411669759,0.0,611,646
A2C_mod,EASY,641,waste_feat_SKU201,0.00010464938411669763,3.5104564201302504e-08,31,252
A2C_mod,EASY,642,waste_feat_SKU202,0.00010464938411669759,1.8034277272550122e-08,413,317
A2C_mod,EASY,643,waste_feat_SKU203,0.00010464938411669762,0.0,53,446
A2C_mod,EASY,644,waste_feat_SKU204,0.0001046493841166976,1.151158012126939e-08,407,339
A2C_mod,EASY,645,waste_feat_SKU205,0.00010464938411669762,2.4785380100907893e-07,51,104
A2C_mod,EASY,646,waste_feat_SKU206,0.00010464938411669762,1.0084571478055898e-10,50,407
A2C_mod,EASY,647,waste_feat_SKU207,0.00010464938411669759,4.2991076211561204e-08,411,237
A2C_mod,EASY,648,waste_feat_SKU208,0.00010464938411669758,1.5633028755914466e-09,637,379
A2C_mod,EASY,649,waste_feat_SKU209,0.00010464938411669759,1.6399794915623892e-07,410,112
A2C_mod,EASY,650,waste_feat_SKU210,0.00010464938411669763,0.0,32,660
A2C_mod,EASY,651,waste_feat_SKU211,0.00010464938411669759,1.4069108166569524e-07,409,125
A2C_mod,EASY,652,waste_feat_SKU212,0.0001046493841166976,1.0037796066176833e-10,261,408
A2C_mod,EASY,653,waste_feat_SKU213,0.0001046493841166976,0.0006423009176927273,260,58
A2C_mod,EASY,654,waste_feat_SKU214,0.00010464938411669762,1.4070956572573744e-07,258,124
A2C_mod,EASY,655,waste_feat_SKU215,0.0001046493841166976,3.37239201502402e-10,259,390
A2C_mod,EASY,656,waste_feat_SKU216,0.0001046493841166976,6.687582499164099e-08,275,191
A2C_mod,EASY,657,waste_feat_SKU217,0.00010464938411669759,1.1810657321529879e-08,408,335
A2C_mod,EASY,658,waste_feat_SKU218,0.00010464938411669762,0.00035414808504454246,248,81
A2C_mod,EASY,659,waste_feat_SKU219,0.00010464938411669762,0.0,61,658
A2C_mod,MEDIUM,0,inventory_SKU0,9.858038465522185e-05,0.0,280,660
A2C_mod,MEDIUM,1,inventory_SKU1,9.858038465522184e-05,2.8424710240960368e-08,281,281
A2C_mod,MEDIUM,2,inventory_SKU2,9.858038465522185e-05,0.0,63,659
A2C_mod,MEDIUM,3,inventory_SKU3,9.858038465522184e-05,5.4095118558078894e-08,304,208
A2C_mod,MEDIUM,4,inventory_SKU4,9.858038465522184e-05,0.0,303,448
A2C_mod,MEDIUM,5,inventory_SKU5,9.858038465522185e-05,0.0,41,447
A2C_mod,MEDIUM,6,inventory_SKU6,9.858038465522185e-05,3.009850703088717e-08,40,274
A2C_mod,MEDIUM,7,inventory_SKU7,9.858038465522181e-05,8.645585018688616e-12,577,427
A2C_mod,MEDIUM,8,inventory_SKU8,9.858038465522183e-05,0.0,561,446
A2C_mod,MEDIUM,9,inventory_SKU9,9.858038465522185e-05,0.0,39,445
A2C_mod,MEDIUM,10,inventory_SKU10,9.858038465522183e-05,0.0,562,444
A2C_mod,MEDIUM,11,inventory_SKU11,9.858038465522184e-05,7.197175068859703e-08,302,180
A2C_mod,MEDIUM,12,inventory_SKU12,9.858038465522185e-05,0.0,38,443
A2C_mod,MEDIUM,13,inventory_SKU13,9.858038465522181e-05,0.0,578,442
A2C_mod,MEDIUM,14,inventory_SKU14,9.858038465522184e-05,1.3810964300343262e-11,301,424
A2C_mod,MEDIUM,15,inventory_SKU15,9.858038465522185e-05,9.982027849195364e-05,37,90
A2C_mod,MEDIUM,16,inventory_SKU16,9.858038465522184e-05,2.0052822683166389e-07,300,98
A2C_mod,MEDIUM,17,inventory_SKU17,9.858038465522185e-05,1.2559668184237486e-10,36,388
A2C_mod,MEDIUM,18,inventory_SKU18,9.858038465522181e-05,9.253348415887802e-08,579,147
A2C_mod,MEDIUM,19,inventory_SKU19,9.858038465522181e-05,1.1256695696322997e-10,658,391
A2C_mod,MEDIUM,20,inventory_SKU20,9.858038465522183e-05,6.464926046669673e-12,571,429
A2C_mod,MEDIUM,21,inventory_SKU21,9.858038465522187e-05,2.0621464001371405e-08,35,306
